STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,45.527432126380575,-73.57991673052311,Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,45.53036486555959,-73.58439266681671,1719367663547,1719367919290
Ste-Catherine / St-Laurent,Ville-Marie,45.50991130818593,-73.56380604207516,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.48952522221574,-73.5844581949641,1719337495436,1719338588217
Faillon / St-Denis,Villeray—Saint-Michel—Parc-Extension,45.539890852781404,-73.62026989459991,de l'Esplanade / Villeneuve,Le Plateau-Mont-Royal,45.51943184213857,-73.59095953859651,1719344608996,1719345632977
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.532449016819825,-73.5847695171833,Sanguinet / de Maisonneuve,Ville-Marie,45.51344071816516,-73.56261849403381,1719351523754,1719352695460
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,Parc du Pélican (1ere Ave / Masson),Rosemont - La Petite-Patrie,45.54518840394769,-73.57644259929657,1719373064131,1719373893954
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.532449016819825,-73.5847695171833,Henri-Julien / du Carmel,Le Plateau-Mont-Royal,45.52795093787009,-73.59502326697111,1719355790575,1719356305120
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.532449016819825,-73.5847695171833,Cartier / Masson,Le Plateau-Mont-Royal,45.5380207402854,-73.58352363109587,1719351444759,1719351669443
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,Berri / Laurier,Le Plateau-Mont-Royal,45.52809995527671,-73.58843871625139,1719363168496,1719363592332
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,Calixa-Lavallée / Sherbrooke,Le Plateau-Mont-Royal,45.52479,-73.56545,1719357456111,1719357869632
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319051,-73.5645255446434,Plessis / René-Lévesque,Ville-Marie,45.51937504116866,-73.55190977454185,1719356857084,1719357248561
Drummond / Ste-Catherine,Ville-Marie,45.49861674293281,-73.5741600394249,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.48952522221574,-73.5844581949641,1719355274429,1719355860059
Sherbrooke / Frontenac,Ville-Marie,45.53673221553339,-73.560796189131,Louis-Hémon / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.5517742671765,-73.60347837231528,1719522478307,1719523476839
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,du Parc-La Fontaine / Roy,Le Plateau-Mont-Royal,45.5232203879173,-73.56916093829568,1719532759062,1719533032029
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,Logan / de Champlain,Ville-Marie,45.5231943285584,-73.55584256350994,1719533447734,1719534492959
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,45.53036486555959,-73.58439266681671,Coloniale / Duluth,Le Plateau-Mont-Royal,45.51786873150825,-73.57842743396758,1719510345491,1719510862245
Place Charles-Le Moyne (St-Charles),Longueuil,45.52504512475178,-73.51951967460082,St-Laurent / de Chambly,Longueuil,45.5398841503055,-73.504639035109,1719510760683,1719511550881
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,45.54779995287998,-73.58486741781235,Boyer / Jean-Talon,Rosemont - La Petite-Patrie,45.541569834507,-73.61250426627521,1719510278933,1719511230139
La Ronde,Ville-Marie,45.52156536710626,-73.53533238172531,Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.512470265414784,-73.53212228978008,1719542305958,1719543273002
des Pins / Hutchison,Le Plateau-Mont-Royal,45.510800289485616,-73.57822090387344,McTavish / Sherbrooke,Ville-Marie,45.50277615861811,-73.57589408755302,1719517120979,1719517867931
Waverly / Beaumont,Rosemont - La Petite-Patrie,45.53118825986005,-73.61607760190964,Waverly / Beaumont,Rosemont - La Petite-Patrie,45.53118825986005,-73.61607760190964,1719528495495,1719528815631
